Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,7193
    2,22.470,22.470,7696
    3,45.214,22.744,7696
    4,67.889,22.675,7696
    5,90.210,22.321,7696
    6,113.204,22.994,7696
    7,135.374,22.170,7696
    8,158.052,22.678,7702
    9,180.730,22.678,7704
   10,203.475,22.745,7705
   11,225.676,22.201,7710
   12,248.315,22.639,7710
   13,271.011,22.696,7718
   14,293.780,22.769,7718
   15,316.864,23.084,7718
   16,339.913,23.049,7723
   17,363.153,23.240,7728
   18,386.237,23.084,7733
   19,409.087,22.850,7737
   20,432.523,23.436,7741
   21,455.537,23.014,7745
   22,479.342,23.805,7749
   23,503.158,23.816,7754
   24,526.889,23.731,7759
   25,550.340,23.451,7763
   26,573.355,23.015,7768
   27,596.806,23.451,7773
   28,620.137,23.331,7776
   29,643.801,23.664,7782
   30,666.956,23.155,7786
   31,690.430,23.474,7795
   32,713.754,23.324,7804
   33,736.383,22.629,7828
   34,759.302,22.919,7844
   35,781.761,22.459,7844
   36,804.880,23.119,7856
   37,827.620,22.740,7862
   38,850.265,22.645,7873
   39,873.796,23.531,7879
   40,896.719,22.923,7890
   41,919.733,23.014,7895
   42,942.496,22.763,7908
   43,965.415,22.919,7917
   44,988.376,22.961,7928
   45,1011.174,22.798,7940
   46,1034.299,23.125,7951
   47,1057.191,22.892,7958
   48,1079.907,22.716,7965
   49,1103.058,23.151,7974
   50,1126.169,23.111,7976
   51,1149.343,23.174,7985
   52,1171.943,22.600,7995
   53,1194.959,23.016,8003
   54,1217.783,22.824,8009
   55,1240.574,22.791,8014
   56,1263.660,23.086,8020
   57,1286.497,22.837,8032
   58,1309.559,23.062,8044
   59,1332.480,22.921,8049
   60,1355.157,22.677,8063
   61,1378.487,23.330,8073
   62,1401.352,22.865,8080
   63,1424.117,22.765,8087
   64,1446.884,22.767,8090
   65,1469.781,22.897,8096
   66,1492.890,23.109,8105
   67,1516.808,23.918,8113
   68,1540.543,23.735,8117
   69,1564.158,23.615,8128
   70,1586.851,22.693,8142
   71,1609.677,22.826,8147
   72,1632.841,23.164,8156
   73,1656.080,23.239,8168
   74,1679.021,22.941,8180
   75,1702.478,23.457,8186
   76,1725.969,23.491,8196
   77,1749.744,23.775,8206
   78,1772.629,22.885,8216
   79,1795.684,23.055,8224
   80,1818.812,23.128,8232
   81,1841.760,22.948,8237
   82,1864.580,22.820,8242
   83,1887.435,22.855,8243
   84,1910.792,23.357,8248
   85,1933.599,22.807,8255
   86,1956.470,22.871,8262
   87,1979.609,23.139,8275
   88,2002.844,23.235,8285
   89,2025.504,22.660,8289
   90,2048.419,22.915,8292
   91,2071.153,22.734,8295
   92,2094.415,23.262,8310
   93,2117.767,23.352,8310
   94,2140.656,22.889,8312
   95,2164.059,23.403,8322
   96,2187.220,23.161,8328
   97,2209.996,22.776,8330
   98,2233.238,23.242,8333
   99,2255.934,22.696,8344
  100,2278.801,22.867,8354
  101,2302.004,23.203,8362
  102,2325.218,23.214,8363
  103,2348.094,22.876,8365
  104,2371.092,22.998,8369
  105,2393.873,22.781,8372
  106,2416.600,22.727,8378
  107,2439.420,22.820,8389
  108,2462.231,22.811,8393
  109,2485.287,23.056,8396
  110,2509.347,24.060,8402
  111,2531.998,22.651,8408
  112,2555.315,23.317,8415
  113,2577.997,22.682,8422
  114,2601.262,23.265,8428
  115,2623.938,22.676,8436
  116,2647.471,23.533,8443
  117,2670.690,23.219,8451
  118,2694.388,23.698,8460
  119,2718.132,23.744,8472
  120,2741.510,23.378,8481
  121,2764.423,22.913,8493
  122,2787.236,22.813,8495
  123,2810.061,22.825,8500
  124,2833.134,23.073,8503
  125,2856.090,22.956,8511
  126,2879.302,23.212,8521
  127,2902.813,23.511,8521
  128,2925.843,23.030,8524
  129,2948.676,22.833,8529
  130,2972.263,23.587,8535
  131,2994.805,22.542,8542
  132,3018.637,23.832,8553
  133,3041.937,23.300,8560
  134,3064.975,23.038,8565
  135,3087.834,22.859,8571
  136,3111.314,23.480,8577
  137,3134.047,22.733,8588
  138,3157.682,23.635,8594
  139,3180.532,22.850,8595
  140,3203.297,22.765,8602
  141,3226.006,22.709,8606
  142,3249.080,23.074,8611
  143,3272.274,23.194,8626
  144,3295.459,23.185,8640
  145,3318.703,23.244,8643
  146,3341.714,23.011,8643
  147,3364.687,22.973,8649
  148,3387.552,22.865,8650
  149,3410.667,23.115,8650
  150,3433.218,22.551,8650
  151,3456.081,22.863,8656
  152,3479.588,23.507,8660
  153,3502.841,23.253,8662
  154,3525.953,23.112,8667
  155,3548.799,22.846,8678
  156,3571.861,23.062,8686
  157,3595.285,23.424,8694
  158,3619.052,23.767,8703
  159,3641.848,22.796,8705
  160,3665.223,23.375,8705
  161,3688.291,23.068,8705
  162,3712.024,23.733,8705
  163,3735.618,23.594,8711
  164,3759.232,23.614,8700
  165,3783.323,24.091,8423
  166,3807.507,24.184,8093
  167,3831.023,23.516,7927
  168,3854.758,23.735,7862
  169,3877.817,23.059,7853
  170,3901.310,23.493,7861
  171,3924.564,23.254,7861
  172,3947.650,23.086,7865
  173,3970.751,23.101,7870
  174,3993.688,22.937,7870
  175,4017.109,23.421,7870
  176,4040.715,23.606,7873
  177,4064.084,23.369,7880
  178,4087.052,22.968,7885
  179,4110.229,23.177,7889
  180,4134.498,24.269,7897
  181,4157.241,22.743,7901
  182,4180.340,23.099,7910
  183,4203.791,23.451,7914
  184,4227.752,23.961,7922
  185,4251.555,23.803,7926
  186,4274.776,23.221,7931
  187,4298.213,23.437,7943
  188,4321.253,23.040,7945
  189,4344.472,23.219,7952
  190,4367.529,23.057,7956
  191,4390.630,23.101,7962
  192,4414.061,23.431,7967
  193,4436.923,22.862,7970
  194,4460.184,23.261,7973
  195,4483.572,23.388,7976
  196,4506.766,23.194,7979
  197,4529.853,23.087,7989
  198,4553.055,23.202,7996
  199,4576.088,23.033,8001
  200,4599.882,23.794,8013
  201,4622.956,23.074,8021
  202,4646.478,23.522,8023
  203,4669.615,23.137,8024
  204,4692.718,23.103,8024
  205,4716.030,23.312,8029
  206,4739.271,23.241,8039
  207,4763.034,23.763,8045
  208,4786.694,23.660,8051
  209,4809.741,23.047,8058
  210,4832.751,23.010,8062
  211,4856.188,23.437,8063
  212,4879.360,23.172,8070
  213,4902.737,23.377,8077
  214,4925.720,22.983,8081
  215,4949.069,23.349,8085
  216,4972.468,23.399,8089
  217,4995.484,23.016,8090
  218,5018.767,23.283,8094
  219,5041.839,23.072,8106
  220,5065.632,23.793,8107
  221,5088.633,23.001,8110
  222,5112.009,23.376,8116
  223,5135.405,23.396,8122
  224,5158.629,23.224,8128
  225,5181.754,23.125,8134
  226,5204.863,23.109,8141
  227,5228.382,23.519,8146
  228,5251.148,22.766,8152
  229,5274.616,23.468,8158
  230,5297.648,23.032,8163
  231,5320.632,22.984,8164
  232,5344.759,24.127,8174
  233,5367.788,23.029,8183
  234,5390.878,23.090,8183
  235,5414.061,23.183,8185
  236,5437.464,23.403,8189
  237,5460.300,22.836,8193
  238,5483.525,23.225,8196
  239,5507.094,23.569,8202
  240,5530.622,23.528,8204
  241,5554.272,23.650,8205
  242,5577.197,22.925,8205
  243,5600.512,23.315,8208
  244,5623.443,22.931,8208
  245,5646.871,23.428,8212
  246,5670.158,23.287,8219
  247,5693.503,23.345,8220
  248,5717.073,23.570,8220
  249,5740.331,23.258,8230
  250,5763.820,23.489,8243
  251,5787.018,23.198,8249
  252,5810.087,23.069,8253
  253,5833.090,23.003,8256
  254,5856.302,23.212,8257
  255,5879.817,23.515,8261
  256,5903.377,23.560,8268
  257,5926.530,23.153,8272
  258,5949.713,23.183,8276
  259,5972.949,23.236,8285
  260,5997.277,24.328,8300
  261,6020.300,23.023,8310
  262,6043.421,23.121,8316
  263,6066.648,23.227,8320
  264,6090.608,23.960,8345
  265,6114.729,24.121,8354
  266,6138.499,23.769,8370
  267,6162.352,23.854,8374
  268,6185.274,22.922,8374
  269,6208.393,23.119,8375
  270,6232.115,23.722,8379
  271,6255.317,23.202,8380
  272,6279.388,24.071,8380
  273,6302.803,23.415,8377
  274,6325.797,22.994,8377
  275,6348.809,23.012,8377
  276,6372.670,23.861,8377
  277,6397.356,24.686,8378
  278,6420.303,22.947,8378
  279,6443.370,23.067,8378
  280,6467.570,24.200,8378
  281,6490.803,23.233,8378
  282,6514.990,24.187,8378
  283,6537.284,22.294,8378
  284,6559.898,22.614,8379
  285,6583.530,23.632,8381
  286,6606.947,23.417,8382
  287,6630.120,23.173,8383
  288,6654.305,24.185,8383
  289,6677.954,23.649,8385
