Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,4801
    2,11.853,11.853,5680
    3,23.871,12.018,5680
    4,35.428,11.557,5680
    5,46.944,11.516,5680
    6,58.845,11.901,5680
    7,70.687,11.842,5680
    8,82.629,11.942,5683
    9,94.762,12.133,5687
   10,106.763,12.001,5687
   11,118.929,12.166,5692
   12,130.898,11.969,5700
   13,142.971,12.073,5702
   14,155.046,12.075,5703
   15,167.253,12.207,5707
   16,179.679,12.426,5711
   17,191.999,12.320,5723
   18,204.052,12.053,5724
   19,216.834,12.782,5729
   20,229.180,12.346,5732
   21,241.236,12.056,5733
   22,253.283,12.047,5733
   23,265.395,12.112,5735
   24,277.478,12.083,5740
   25,289.768,12.290,5742
   26,302.199,12.431,5743
   27,314.170,11.971,5744
   28,326.273,12.103,5748
   29,338.404,12.131,5749
   30,350.499,12.095,5764
   31,362.499,12.000,5764
   32,374.639,12.140,5774
   33,386.850,12.211,5781
   34,399.103,12.253,5788
   35,411.333,12.230,5799
   36,423.639,12.306,5806
   37,435.953,12.314,5812
   38,448.244,12.291,5818
   39,460.608,12.364,5824
   40,473.357,12.749,5830
   41,485.785,12.428,5836
   42,498.219,12.434,5842
   43,510.292,12.073,5848
   44,522.381,12.089,5855
   45,534.445,12.064,5863
   46,546.485,12.040,5863
   47,558.517,12.032,5866
   48,570.594,12.077,5873
   49,582.664,12.070,5878
   50,594.739,12.075,5884
   51,606.863,12.124,5890
   52,619.006,12.143,5891
   53,631.044,12.038,5897
   54,643.062,12.018,5901
   55,654.956,11.894,5906
   56,666.954,11.998,5914
   57,678.835,11.881,5918
   58,690.922,12.087,5927
   59,702.869,11.947,5933
   60,714.980,12.111,5939
   61,727.029,12.049,5945
   62,738.758,11.729,5949
   63,751.165,12.407,5956
   64,763.119,11.954,5960
   65,775.636,12.517,5968
   66,787.696,12.060,5973
   67,799.529,11.833,5979
   68,811.460,11.931,5982
   69,823.431,11.971,5987
   70,835.317,11.886,5993
   71,847.495,12.178,5998
   72,859.461,11.966,6004
   73,871.635,12.174,6011
   74,883.914,12.279,6015
   75,895.810,11.896,6022
   76,907.643,11.833,6027
   77,919.532,11.889,6034
   78,931.610,12.078,6040
   79,943.422,11.812,6040
   80,955.408,11.986,6048
   81,967.613,12.205,6054
   82,979.563,11.950,6058
   83,991.459,11.896,6063
   84,1003.427,11.968,6071
   85,1015.318,11.891,6074
   86,1027.558,12.240,6080
   87,1039.319,11.761,6080
   88,1051.275,11.956,6090
   89,1063.084,11.809,6090
   90,1074.666,11.582,6090
   91,1086.675,12.009,6114
   92,1098.634,11.959,6122
   93,1110.597,11.963,6131
   94,1122.391,11.794,6137
   95,1134.449,12.058,6137
   96,1146.415,11.966,6147
   97,1158.352,11.937,6147
   98,1169.974,11.622,6161
   99,1181.883,11.909,6169
  100,1193.734,11.851,6174
  101,1205.674,11.940,6183
  102,1217.655,11.981,6192
  103,1229.714,12.059,6198
  104,1241.533,11.819,6204
  105,1253.432,11.899,6210
  106,1265.283,11.851,6211
  107,1277.278,11.995,6215
  108,1289.453,12.175,6217
  109,1301.147,11.694,6220
  110,1312.965,11.818,6226
  111,1324.919,11.954,6229
  112,1337.011,12.092,6237
  113,1348.732,11.721,6243
  114,1360.609,11.877,6249
  115,1372.692,12.083,6254
  116,1384.337,11.645,6257
  117,1396.639,12.302,6264
  118,1408.438,11.799,6268
  119,1420.269,11.831,6276
  120,1432.289,12.020,6281
  121,1444.107,11.818,6285
  122,1455.954,11.847,6293
  123,1467.655,11.701,6296
  124,1479.853,12.198,6304
  125,1491.509,11.656,6307
  126,1503.401,11.892,6313
  127,1515.317,11.916,6321
  128,1527.143,11.826,6330
  129,1538.963,11.820,6334
  130,1550.686,11.723,6342
  131,1562.517,11.831,6350
  132,1574.310,11.793,6357
  133,1586.173,11.863,6361
  134,1597.939,11.766,6366
  135,1609.889,11.950,6369
  136,1621.761,11.872,6372
  137,1633.587,11.826,6375
  138,1645.719,12.132,6379
  139,1657.390,11.671,6383
  140,1669.128,11.738,6387
  141,1680.867,11.739,6389
  142,1692.782,11.915,6400
  143,1704.556,11.774,6405
  144,1716.649,12.093,6411
  145,1728.324,11.675,6414
  146,1740.036,11.712,6417
  147,1751.882,11.846,6424
  148,1763.720,11.838,6429
  149,1775.605,11.885,6438
  150,1787.433,11.828,6441
  151,1799.192,11.759,6447
  152,1811.082,11.890,6453
  153,1823.306,12.224,6459
  154,1835.427,12.121,6465
  155,1847.168,11.741,6470
  156,1858.931,11.763,6477
  157,1870.745,11.814,6483
  158,1882.506,11.761,6491
  159,1894.715,12.209,6497
  160,1906.568,11.853,6505
  161,1918.575,12.007,6510
  162,1930.498,11.923,6517
  163,1942.656,12.158,6526
  164,1954.705,12.049,6532
  165,1966.744,12.039,6539
  166,1978.654,11.910,6543
  167,1990.568,11.914,6547
  168,2002.279,11.711,6553
  169,2014.119,11.840,6559
  170,2025.892,11.773,6566
  171,2037.870,11.978,6572
  172,2049.810,11.940,6577
  173,2061.983,12.173,6584
  174,2073.654,11.671,6590
  175,2085.330,11.676,6593
  176,2097.140,11.810,6599
  177,2108.902,11.762,6604
  178,2120.922,12.020,6607
  179,2132.526,11.604,6607
  180,2144.341,11.815,6611
  181,2156.185,11.844,6617
  182,2167.954,11.769,6622
  183,2179.637,11.683,6628
  184,2191.682,12.045,6645
  185,2203.375,11.693,6651
  186,2215.323,11.948,6657
  187,2227.060,11.737,6663
  188,2239.157,12.097,6669
  189,2251.326,12.169,6675
  190,2262.899,11.573,6676
  191,2274.771,11.872,6680
  192,2286.658,11.887,6686
  193,2298.472,11.814,6692
  194,2310.350,11.878,6693
  195,2322.241,11.891,6699
  196,2333.959,11.718,6705
  197,2345.750,11.791,6711
  198,2357.409,11.659,6716
  199,2369.678,12.269,6724
  200,2381.728,12.050,6730
  201,2393.527,11.799,6730
  202,2405.311,11.784,6737
  203,2417.013,11.702,6745
  204,2428.781,11.768,6752
  205,2440.499,11.718,6758
