Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,5809
    2, 8.958, 8.958,6010
    3,18.004, 9.046,6013
    4,26.921, 8.917,6015
    5,35.607, 8.686,6018
    6,44.157, 8.550,6021
    7,52.944, 8.787,6024
    8,61.824, 8.880,6027
    9,70.449, 8.625,6029
   10,79.378, 8.929,6032
   11,87.908, 8.530,6035
   12,97.538, 9.630,6035
   13,105.310, 7.772,6038
   14,114.010, 8.700,6039
   15,123.219, 9.209,6042
   16,131.875, 8.656,6042
   17,140.318, 8.443,6045
   18,149.353, 9.035,6053
   19,159.196, 9.843,6070
   20,167.372, 8.176,6070
   21,175.211, 7.839,6080
   22,183.890, 8.679,6097
   23,192.499, 8.609,6111
   24,201.188, 8.689,6126
   25,209.855, 8.667,6131
   26,218.484, 8.629,6134
   27,227.132, 8.648,6139
   28,235.904, 8.772,6142
   29,244.558, 8.654,6148
   30,253.439, 8.881,6153
   31,261.846, 8.407,6157
   32,270.315, 8.469,6160
   33,278.816, 8.501,6166
   34,287.512, 8.696,6169
   35,295.921, 8.409,6177
   36,304.681, 8.760,6183
   37,313.278, 8.597,6188
   38,321.786, 8.508,6193
   39,330.380, 8.594,6199
   40,338.988, 8.608,6203
   41,347.689, 8.701,6206
   42,356.102, 8.413,6212
   43,364.787, 8.685,6215
   44,373.194, 8.407,6218
   45,381.888, 8.694,6224
   46,395.010,13.122,6227
   47,403.439, 8.429,6235
   48,411.980, 8.541,6238
   49,420.605, 8.625,6240
   50,429.389, 8.784,6248
   51,437.808, 8.419,6251
   52,446.325, 8.517,6256
   53,455.021, 8.696,6260
   54,463.603, 8.582,6264
   55,472.114, 8.511,6268
   56,480.621, 8.507,6271
   57,489.387, 8.766,6274
   58,498.066, 8.679,6277
   59,506.446, 8.380,6283
   60,515.026, 8.580,6285
   61,523.664, 8.638,6289
   62,532.289, 8.625,6295
   63,540.819, 8.530,6298
   64,549.489, 8.670,6304
   65,558.074, 8.585,6309
   66,566.506, 8.432,6314
   67,575.186, 8.680,6317
   68,583.794, 8.608,6323
   69,592.330, 8.536,6327
   70,601.001, 8.671,6330
   71,609.542, 8.541,6333
   72,618.292, 8.750,6336
   73,626.795, 8.503,6342
   74,635.478, 8.683,6345
   75,643.931, 8.453,6348
   76,652.493, 8.562,6351
   77,661.328, 8.835,6357
   78,669.741, 8.413,6360
   79,678.229, 8.488,6362
   80,686.822, 8.593,6366
   81,695.440, 8.618,6371
   82,704.007, 8.567,6378
   83,712.602, 8.595,6384
   84,722.519, 9.917,6390
   85,730.936, 8.417,6393
   86,739.877, 8.941,6399
   87,748.776, 8.899,6403
   88,757.383, 8.607,6406
   89,765.931, 8.548,6410
   90,774.582, 8.651,6416
   91,783.235, 8.653,6418
   92,791.683, 8.448,6425
   93,800.287, 8.604,6429
   94,808.826, 8.539,6433
   95,817.365, 8.539,6435
   96,825.868, 8.503,6438
   97,834.598, 8.730,6445
   98,843.161, 8.563,6449
   99,851.790, 8.629,6455
  100,860.357, 8.567,6457
  101,869.161, 8.804,6462
  102,877.874, 8.713,6467
  103,886.425, 8.551,6469
  104,894.801, 8.376,6475
  105,903.865, 9.064,6479
  106,912.275, 8.410,6481
  107,920.889, 8.614,6488
  108,929.474, 8.585,6491
  109,938.219, 8.745,6494
  110,947.304, 9.085,6498
  111,955.606, 8.302,6501
  112,964.243, 8.637,6507
  113,972.818, 8.575,6510
  114,981.585, 8.767,6516
  115,990.605, 9.020,6521
  116,999.141, 8.536,6525
  117,1007.898, 8.757,6527
  118,1016.513, 8.615,6533
  119,1025.187, 8.674,6536
  120,1034.086, 8.899,6540
  121,1042.856, 8.770,6543
  122,1051.257, 8.401,6546
  123,1059.980, 8.723,6554
  124,1068.648, 8.668,6555
  125,1077.319, 8.671,6560
  126,1085.788, 8.469,6563
  127,1094.453, 8.665,6568
  128,1103.160, 8.707,6573
  129,1111.903, 8.743,6576
  130,1120.485, 8.582,6578
  131,1128.980, 8.495,6581
  132,1137.641, 8.661,6586
  133,1146.689, 9.048,6591
  134,1155.416, 8.727,6594
  135,1164.039, 8.623,6598
  136,1172.863, 8.824,6602
  137,1181.868, 9.005,6608
  138,1190.912, 9.044,6611
  139,1199.600, 8.688,6617
  140,1208.117, 8.517,6619
  141,1216.923, 8.806,6622
  142,1225.462, 8.539,6625
  143,1233.931, 8.469,6631
  144,1242.940, 9.009,6633
  145,1251.515, 8.575,6635
  146,1260.302, 8.787,6641
  147,1269.006, 8.704,6645
  148,1277.660, 8.654,6647
  149,1286.133, 8.473,6651
  150,1294.846, 8.713,6657
  151,1303.492, 8.646,6660
  152,1312.180, 8.688,6665
  153,1320.882, 8.702,6668
  154,1329.606, 8.724,6674
  155,1337.979, 8.373,6677
  156,1346.721, 8.742,6681
  157,1355.399, 8.678,6687
  158,1364.020, 8.621,6690
  159,1372.861, 8.841,6696
  160,1381.574, 8.713,6700
  161,1390.296, 8.722,6703
  162,1398.878, 8.582,6710
  163,1407.525, 8.647,6715
  164,1416.309, 8.784,6722
  165,1425.079, 8.770,6726
  166,1433.900, 8.821,6729
  167,1442.458, 8.558,6734
  168,1451.303, 8.845,6740
  169,1459.837, 8.534,6743
  170,1468.545, 8.708,6747
  171,1477.305, 8.760,6750
  172,1486.012, 8.707,6753
  173,1494.939, 8.927,6757
  174,1503.360, 8.421,6764
  175,1512.155, 8.795,6767
