Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,3840
    2, 6.322, 6.322,4128
    3,12.593, 6.271,4129
    4,18.727, 6.134,4130
    5,25.046, 6.319,4132
    6,31.371, 6.325,4135
    7,37.429, 6.058,4135
    8,43.499, 6.070,4138
    9,49.552, 6.053,4138
   10,55.681, 6.129,4138
   11,61.832, 6.151,4138
   12,67.818, 5.986,4138
   13,74.324, 6.506,4138
   14,80.481, 6.157,4143
   15,86.698, 6.217,4146
   16,93.102, 6.404,4147
   17,99.151, 6.049,4147
   18,105.124, 5.973,4153
   19,111.333, 6.209,4154
   20,117.598, 6.265,4161
   21,123.718, 6.120,4161
   22,129.897, 6.179,4165
   23,135.927, 6.030,4165
   24,142.053, 6.126,4165
   25,148.119, 6.066,4165
   26,154.220, 6.101,4175
   27,160.624, 6.404,4178
   28,166.691, 6.067,4178
   29,172.796, 6.105,4178
   30,178.945, 6.149,4189
   31,185.326, 6.381,4194
   32,191.482, 6.156,4197
   33,197.619, 6.137,4198
   34,203.858, 6.239,4206
   35,210.179, 6.321,4211
   36,216.534, 6.355,4216
   37,222.747, 6.213,4220
   38,228.990, 6.243,4223
   39,235.350, 6.360,4227
   40,241.561, 6.211,4227
   41,247.752, 6.191,4233
   42,254.063, 6.311,4233
   43,260.184, 6.121,4239
   44,266.491, 6.307,4242
   45,272.721, 6.230,4244
   46,278.925, 6.204,4247
   47,285.133, 6.208,4251
   48,291.328, 6.195,4254
   49,297.653, 6.325,4257
   50,303.804, 6.151,4259
   51,310.086, 6.282,4262
   52,316.393, 6.307,4267
   53,322.568, 6.175,4270
   54,328.700, 6.132,4272
   55,335.348, 6.648,4278
   56,341.297, 5.949,4278
   57,347.673, 6.376,4279
   58,353.748, 6.075,4281
   59,359.967, 6.219,4284
   60,366.258, 6.291,4287
   61,372.522, 6.264,4290
   62,378.871, 6.349,4292
   63,385.087, 6.216,4296
   64,391.299, 6.212,4299
   65,397.624, 6.325,4302
   66,403.848, 6.224,4305
   67,410.094, 6.246,4306
   68,416.134, 6.040,4309
   69,422.505, 6.371,4309
   70,429.041, 6.536,4312
   71,435.470, 6.429,4315
   72,441.682, 6.212,4316
   73,447.813, 6.131,4320
   74,454.156, 6.343,4323
   75,460.254, 6.098,4325
   76,466.467, 6.213,4331
   77,472.526, 6.059,4333
   78,478.634, 6.108,4338
