Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,9382
    2,22.173,22.173,9032
    3,44.089,21.916,9032
    4,66.412,22.323,9032
    5,88.315,21.903,9032
    6,110.440,22.125,9032
    7,132.689,22.249,9032
    8,154.433,21.744,9032
    9,176.654,22.221,9032
   10,198.622,21.968,9032
   11,220.715,22.093,9032
   12,243.268,22.553,9032
   13,265.416,22.148,9032
   14,287.556,22.140,9032
   15,309.598,22.042,9032
   16,331.642,22.044,9032
   17,354.001,22.359,9032
   18,376.604,22.603,9032
   19,398.730,22.126,9032
   20,421.240,22.510,9032
   21,444.099,22.859,9032
   22,466.117,22.018,9032
   23,488.540,22.423,9032
   24,511.564,23.024,9032
   25,533.675,22.111,9032
   26,556.246,22.571,9032
   27,578.906,22.660,9032
   28,601.065,22.159,9032
   29,623.165,22.100,9032
   30,645.472,22.307,9032
   31,667.721,22.249,9032
   32,689.733,22.012,9032
   33,712.133,22.400,9032
   34,734.541,22.408,9032
   35,756.658,22.117,9032
   36,779.096,22.438,9033
   37,801.327,22.231,9033
   38,823.659,22.332,9033
   39,845.885,22.226,9033
   40,868.345,22.460,9033
   41,890.786,22.441,9033
   42,913.293,22.507,9033
   43,935.816,22.523,9033
   44,957.963,22.147,9033
   45,980.311,22.348,9033
   46,1002.937,22.626,9033
   47,1025.710,22.773,9033
   48,1047.857,22.147,9033
   49,1070.253,22.396,9033
   50,1092.688,22.435,9033
   51,1115.355,22.667,9033
   52,1137.564,22.209,9033
   53,1160.178,22.614,9033
   54,1182.470,22.292,9033
   55,1204.959,22.489,9033
   56,1227.494,22.535,9033
   57,1250.028,22.534,9033
   58,1272.638,22.610,9033
   59,1294.927,22.289,9033
   60,1317.249,22.322,9033
   61,1339.662,22.413,9032
   62,1362.150,22.488,9032
   63,1384.450,22.300,9032
   64,1406.807,22.357,9032
   65,1429.337,22.530,9032
   66,1451.770,22.433,9032
   67,1474.509,22.739,9032
   68,1497.814,23.305,9032
   69,1520.200,22.386,9032
   70,1543.108,22.908,9032
   71,1565.586,22.478,9032
   72,1588.056,22.470,9032
   73,1610.361,22.305,9032
   74,1633.049,22.688,9032
   75,1655.605,22.556,9032
   76,1678.189,22.584,9032
   77,1700.432,22.243,9032
   78,1723.344,22.912,9032
   79,1745.656,22.312,9032
   80,1768.197,22.541,9032
   81,1790.615,22.418,9032
   82,1813.341,22.726,9032
   83,1835.613,22.272,9032
   84,1858.243,22.630,9032
   85,1880.363,22.120,9032
   86,1902.876,22.513,9032
